,성별,연령,키,몸무게,학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
0,2.0,13.0,154.0,50.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,120.0,180.0
1,2.0,12.0,161.0,47.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,120.0,60.0
2,2.0,13.0,161.0,44.3,2.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,120.0,180.0
3,2.0,13.0,163.7,52.0,1.0,2.0,1.0,8.0,2.0,3.0,2.0,1.0,0.0,0.0
4,2.0,13.0,156.0,44.0,3.0,2.0,1.0,8.0,3.0,2.0,1.0,1.0,20.0,0.0
5,2.0,13.0,166.7,62.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,120.0,240.0
6,2.0,12.0,169.0,45.4,4.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,450.0,600.0
7,2.0,12.0,157.0,42.0,1.0,1.0,1.0,7.0,5.0,1.0,1.0,1.0,120.0,120.0
8,1.0,12.0,155.0,55.0,2.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,120.0,0.0
9,1.0,13.0,171.0,54.0,1.0,1.0,1.0,8.0,3.0,3.0,1.0,1.0,90.0,180.0
10,1.0,13.0,172.4,57.0,2.0,2.0,1.0,5.0,3.0,4.0,1.0,1.0,120.0,180.0
11,2.0,13.0,161.0,50.6,3.0,2.0,2.0,5.0,4.0,3.0,1.0,1.0,10.0,30.0
12,2.0,12.0,161.0,48.0,2.0,2.0,2.0,6.0,3.0,3.0,1.0,1.0,120.0,120.0
13,1.0,13.0,163.0,47.0,3.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,240.0,0.0
14,2.0,13.0,156.0,57.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,150.0,150.0
15,2.0,12.0,157.0,47.0,2.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,0.0,120.0
16,2.0,13.0,148.0,40.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,80.0,20.0
17,1.0,12.0,171.0,77.0,3.0,2.0,1.0,8.0,3.0,4.0,1.0,1.0,0.0,0.0
18,1.0,13.0,164.4,55.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,1.0,240.0,300.0
19,1.0,13.0,161.3,43.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0
20,1.0,12.0,178.0,63.5,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,120.0,120.0
21,1.0,13.0,162.4,53.6,3.0,3.0,3.0,4.0,1.0,4.0,1.0,1.0,150.0,300.0
22,1.0,12.0,157.8,47.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,1.0,180.0,240.0
23,1.0,12.0,157.0,39.0,2.0,2.0,1.0,8.0,2.0,1.0,1.0,1.0,240.0,120.0
24,2.0,13.0,160.3,46.0,3.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,0.0,10.0
25,1.0,14.0,177.0,51.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,30.0,20.0
26,1.0,14.0,169.0,75.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,360.0,240.0
27,2.0,14.0,155.0,43.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,60.0,120.0
28,1.0,13.0,174.5,76.0,4.0,3.0,2.0,6.0,4.0,1.0,2.0,1.0,40.0,60.0
29,2.0,13.0,145.0,40.0,3.0,3.0,3.0,1.0,5.0,2.0,1.0,1.0,60.0,60.0
30,2.0,14.0,161.0,50.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,60.0,60.0
31,1.0,12.0,173.9,53.8,3.0,5.0,2.0,8.0,1.0,5.0,2.0,1.0,120.0,120.0
32,1.0,14.0,167.0,38.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,120.0,240.0
33,1.0,14.0,174.2,53.0,2.0,1.0,1.0,7.0,5.0,2.0,1.0,1.0,0.0,40.0
34,1.0,13.0,160.3,56.7,4.0,4.0,3.0,1.0,3.0,3.0,2.0,1.0,240.0,360.0
35,1.0,14.0,162.0,65.0,3.0,2.0,2.0,5.0,3.0,4.0,1.0,1.0,90.0,120.0
36,1.0,13.0,149.3,40.3,2.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0
37,2.0,14.0,161.0,48.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,180.0,240.0
38,1.0,14.0,168.7,50.4,1.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,180.0,120.0
39,2.0,13.0,157.0,48.0,3.0,3.0,1.0,3.0,2.0,4.0,1.0,1.0,250.0,210.0
40,1.0,13.0,165.5,77.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,160.0,190.0
41,2.0,13.0,167.0,59.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,360.0,420.0
42,2.0,13.0,158.0,48.0,2.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,240.0,480.0
43,2.0,14.0,158.5,38.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,60.0,60.0
44,2.0,14.0,164.0,52.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,180.0,240.0
45,1.0,14.0,167.0,52.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,420.0,600.0
46,2.0,15.0,165.0,55.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,90.0,150.0
47,1.0,14.0,167.0,53.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,120.0,180.0
48,2.0,14.0,166.0,50.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,60.0,60.0
49,1.0,15.0,175.0,78.0,1.0,1.0,1.0,8.0,4.0,1.0,2.0,1.0,100.0,240.0
50,1.0,14.0,179.0,65.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0
51,1.0,14.0,175.0,75.0,3.0,1.0,1.0,6.0,3.0,2.0,1.0,1.0,300.0,480.0
52,2.0,15.0,158.0,49.8,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,540.0,600.0
53,1.0,14.0,177.0,60.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0
54,2.0,14.0,164.0,56.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,1.0,0.0,240.0
55,1.0,14.0,168.0,49.0,2.0,3.0,1.0,8.0,3.0,2.0,2.0,1.0,0.0,0.0
56,2.0,14.0,165.0,52.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,180.0,240.0
57,2.0,14.0,161.6,44.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,240.0,360.0
58,2.0,14.0,157.0,54.0,4.0,4.0,1.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0
59,2.0,14.0,170.7,63.0,2.0,2.0,4.0,8.0,1.0,5.0,1.0,1.0,0.0,0.0
60,1.0,15.0,173.0,57.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0
61,2.0,14.0,151.0,55.0,1.0,4.0,1.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0
62,2.0,15.0,167.0,50.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,60.0,120.0
63,2.0,15.0,151.5,54.5,3.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,180.0,240.0
64,1.0,15.0,172.4,74.0,2.0,3.0,1.0,6.0,3.0,3.0,1.0,1.0,60.0,60.0
65,2.0,14.0,157.0,48.0,3.0,4.0,2.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0
66,2.0,15.0,160.0,56.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,180.0,240.0
67,1.0,15.0,169.4,64.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,30.0,60.0
68,2.0,12.0,155.4,49.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,60.0,140.0
69,2.0,13.0,157.0,41.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,90.0,120.0
70,2.0,13.0,162.0,50.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,1.0,120.0,120.0
71,2.0,13.0,165.0,55.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,90.0,130.0
72,1.0,12.0,158.0,38.4,1.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,120.0
73,2.0,12.0,155.0,42.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,120.0,120.0
74,2.0,12.0,150.3,47.0,3.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,250.0,240.0
75,1.0,12.0,166.5,48.6,2.0,1.0,2.0,4.0,3.0,4.0,1.0,1.0,240.0,300.0
76,1.0,13.0,161.0,56.0,2.0,1.0,2.0,8.0,1.0,4.0,1.0,1.0,220.0,310.0
77,1.0,12.0,164.5,44.0,1.0,3.0,1.0,8.0,3.0,2.0,1.0,1.0,60.0,60.0
78,2.0,13.0,154.0,41.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,300.0,420.0
79,2.0,12.0,161.0,46.4,1.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,150.0,180.0
80,2.0,13.0,163.0,55.0,1.0,2.0,3.0,6.0,4.0,4.0,1.0,1.0,120.0,240.0
81,2.0,13.0,160.3,37.4,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,60.0,190.0
82,2.0,13.0,161.0,54.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,60.0,60.0
83,2.0,12.0,157.0,56.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,90.0,120.0
84,1.0,13.0,164.0,60.0,3.0,2.0,2.0,1.0,5.0,3.0,1.0,1.0,180.0,300.0
85,1.0,12.0,156.0,43.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0,60.0,120.0
86,1.0,13.0,157.2,39.4,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,60.0,180.0
87,1.0,12.0,168.7,70.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,60.0,120.0
88,2.0,12.0,153.0,40.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,10.0
89,1.0,13.0,174.0,72.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,70.0,120.0
90,1.0,12.0,163.0,51.7,3.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0
91,1.0,14.0,175.0,62.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,60.0,120.0
92,1.0,14.0,179.0,65.0,3.0,3.0,2.0,8.0,1.0,3.0,1.0,1.0,0.0,0.0
93,2.0,14.0,163.2,70.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,240.0,300.0
94,2.0,14.0,160.0,49.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,30.0,60.0
95,2.0,13.0,165.0,55.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,240.0,360.0
96,2.0,14.0,168.0,54.8,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,210.0,360.0
97,1.0,14.0,168.1,58.0,2.0,2.0,2.0,6.0,4.0,3.0,1.0,1.0,240.0,360.0
98,2.0,14.0,158.0,42.0,3.0,1.0,1.0,8.0,3.0,2.0,1.0,1.0,90.0,170.0
99,1.0,13.0,174.0,55.0,2.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,600.0,180.0
100,1.0,14.0,177.5,63.0,5.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,280.0,380.0
101,1.0,14.0,171.0,65.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,180.0,180.0
102,1.0,13.0,167.0,50.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0
103,1.0,13.0,168.5,50.0,2.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,0.0,0.0
104,1.0,13.0,173.0,67.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,60.0,120.0
105,2.0,14.0,163.0,48.0,4.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,30.0,30.0
106,1.0,14.0,170.0,64.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,130.0,150.0
107,2.0,13.0,169.0,48.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,120.0,120.0
108,2.0,13.0,159.0,43.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,120.0,240.0
109,2.0,14.0,159.0,49.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,120.0,180.0
110,2.0,14.0,160.0,66.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,60.0,240.0
111,2.0,14.0,158.0,72.0,2.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0,120.0,180.0
112,1.0,15.0,170.0,65.0,3.0,1.0,4.0,8.0,2.0,3.0,2.0,1.0,0.0,0.0
113,2.0,14.0,172.0,51.0,2.0,1.0,1.0,7.0,4.0,2.0,1.0,1.0,60.0,120.0
114,1.0,15.0,168.5,83.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,270.0,220.0
115,2.0,14.0,167.0,63.6,4.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,30.0,420.0
116,1.0,14.0,176.0,53.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0
117,1.0,14.0,176.0,83.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0
118,2.0,14.0,160.0,53.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,240.0,360.0
119,1.0,14.0,182.0,65.0,1.0,1.0,1.0,7.0,3.0,2.0,2.0,1.0,0.0,0.0
120,2.0,15.0,162.0,52.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,180.0,240.0
121,1.0,14.0,180.1,66.6,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0
122,2.0,15.0,162.0,68.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,30.0
123,1.0,15.0,179.0,57.0,1.0,2.0,1.0,6.0,4.0,2.0,1.0,1.0,120.0,120.0
124,1.0,15.0,177.0,75.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0
125,2.0,14.0,160.0,43.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,70.0,120.0
126,2.0,14.0,165.0,51.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,1.0,420.0,420.0
127,2.0,14.0,160.0,55.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,360.0,360.0
128,2.0,14.0,167.0,52.1,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,180.0,240.0
129,2.0,12.0,154.0,50.3,4.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,80.0,180.0
130,2.0,12.0,153.0,50.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,180.0,600.0
131,2.0,13.0,158.0,58.0,2.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,90.0,180.0
132,2.0,12.0,157.0,40.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,60.0,150.0
133,2.0,13.0,172.2,66.0,5.0,1.0,3.0,6.0,2.0,2.0,2.0,1.0,0.0,360.0
134,2.0,12.0,161.0,45.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,60.0,180.0
135,1.0,12.0,156.7,73.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,180.0,360.0
136,1.0,13.0,173.5,79.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,180.0,300.0
137,1.0,13.0,157.0,54.0,3.0,3.0,2.0,7.0,4.0,2.0,1.0,1.0,0.0,0.0
138,2.0,12.0,158.0,35.0,2.0,3.0,2.0,7.0,3.0,4.0,1.0,1.0,0.0,0.0
139,2.0,12.0,156.0,56.0,2.0,2.0,2.0,4.0,2.0,5.0,1.0,1.0,240.0,240.0
140,2.0,12.0,159.4,50.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,30.0,0.0
141,1.0,12.0,164.0,45.0,3.0,3.0,3.0,2.0,5.0,3.0,1.0,1.0,180.0,360.0
142,1.0,12.0,153.0,43.0,4.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,60.0,120.0
143,1.0,13.0,157.9,48.0,3.0,2.0,1.0,5.0,4.0,2.0,1.0,1.0,0.0,120.0
144,1.0,13.0,163.5,47.8,2.0,1.0,1.0,8.0,5.0,1.0,1.0,1.0,120.0,120.0
145,1.0,13.0,172.0,58.0,2.0,2.0,2.0,8.0,3.0,2.0,1.0,1.0,0.0,0.0
146,1.0,12.0,166.0,48.6,2.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,120.0,180.0
147,1.0,13.0,175.2,78.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,120.0,240.0
148,1.0,13.0,159.5,42.0,4.0,5.0,1.0,6.0,2.0,5.0,1.0,1.0,60.0,60.0
149,1.0,13.0,171.0,53.0,5.0,5.0,3.0,4.0,1.0,5.0,2.0,1.0,200.0,310.0
150,1.0,13.0,171.0,55.0,3.0,2.0,1.0,8.0,3.0,3.0,2.0,1.0,120.0,180.0
151,1.0,14.0,185.0,68.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,1.0,50.0,10.0
152,1.0,14.0,177.0,68.0,1.0,1.0,1.0,7.0,3.0,2.0,1.0,1.0,60.0,60.0
153,1.0,14.0,162.0,58.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,180.0,300.0
154,2.0,14.0,160.0,47.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,150.0,150.0
155,2.0,13.0,151.8,52.0,2.0,3.0,2.0,5.0,3.0,3.0,2.0,1.0,240.0,240.0
156,2.0,13.0,161.0,40.0,2.0,3.0,4.0,2.0,2.0,5.0,1.0,1.0,240.0,300.0
157,2.0,14.0,158.7,56.7,4.0,2.0,3.0,1.0,2.0,5.0,2.0,1.0,90.0,60.0
158,2.0,14.0,152.8,45.0,1.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,60.0,120.0
159,2.0,14.0,168.0,65.0,2.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,180.0,120.0
160,1.0,14.0,173.0,50.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,1.0,300.0,420.0
161,1.0,14.0,180.0,66.0,4.0,4.0,3.0,8.0,2.0,4.0,2.0,1.0,40.0,30.0
162,1.0,15.0,168.0,62.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,60.0,60.0
163,1.0,15.0,177.1,78.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
164,1.0,15.0,182.0,79.0,3.0,3.0,1.0,8.0,3.0,4.0,1.0,1.0,480.0,600.0
165,2.0,15.0,159.0,56.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,180.0,360.0
166,2.0,15.0,160.0,48.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,180.0,360.0
167,2.0,15.0,167.5,75.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,60.0,180.0
168,1.0,14.0,165.0,43.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,120.0,180.0
169,1.0,15.0,171.0,53.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,60.0,120.0
170,1.0,15.0,175.0,63.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,250.0,320.0
171,2.0,14.0,161.2,50.0,1.0,1.0,2.0,4.0,3.0,5.0,2.0,2.0,90.0,90.0
172,1.0,15.0,186.1,71.0,4.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,120.0,240.0
173,2.0,14.0,171.6,57.3,4.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,240.0
174,2.0,14.0,166.0,53.0,5.0,3.0,2.0,6.0,2.0,5.0,2.0,1.0,360.0,300.0
175,2.0,14.0,162.0,41.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,120.0,240.0
176,2.0,14.0,158.0,40.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,240.0,180.0
177,2.0,14.0,170.0,57.8,2.0,3.0,1.0,8.0,4.0,2.0,1.0,1.0,300.0,420.0
178,2.0,15.0,164.0,48.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,60.0,180.0
179,2.0,15.0,163.0,50.0,5.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,60.0,420.0
180,1.0,15.0,177.0,67.0,5.0,2.0,2.0,4.0,4.0,5.0,2.0,2.0,480.0,480.0
181,1.0,15.0,170.0,63.0,4.0,3.0,1.0,8.0,1.0,3.0,2.0,2.0,0.0,0.0
182,2.0,13.0,163.0,50.8,2.0,2.0,2.0,6.0,3.0,3.0,1.0,1.0,0.0,80.0
183,2.0,12.0,153.0,38.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,180.0,300.0
184,1.0,14.0,163.0,50.0,2.0,1.0,2.0,8.0,5.0,1.0,1.0,1.0,120.0,120.0
185,1.0,12.0,167.0,65.3,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,60.0,90.0
186,2.0,12.0,147.0,43.0,3.0,3.0,1.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
187,2.0,13.0,169.4,60.6,2.0,2.0,4.0,6.0,1.0,5.0,1.0,1.0,30.0,410.0
188,2.0,13.0,154.0,46.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,90.0,180.0
189,2.0,12.0,151.0,32.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,90.0,600.0
190,2.0,12.0,151.0,38.0,2.0,2.0,3.0,3.0,1.0,5.0,1.0,1.0,30.0,30.0
191,2.0,12.0,160.0,50.2,2.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,120.0,200.0
192,2.0,13.0,159.8,62.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0
193,1.0,12.0,170.0,57.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,60.0,120.0
194,1.0,12.0,150.0,39.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,120.0,180.0
195,1.0,12.0,141.0,40.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,10.0,10.0
196,1.0,13.0,161.4,52.8,2.0,1.0,1.0,7.0,1.0,3.0,2.0,1.0,120.0,120.0
197,1.0,12.0,169.9,54.2,1.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,60.0,120.0
198,2.0,12.0,150.4,40.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,180.0,120.0
199,2.0,13.0,160.8,62.4,2.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,80.0,270.0
200,1.0,12.0,160.8,64.5,1.0,1.0,1.0,6.0,4.0,3.0,2.0,1.0,60.0,80.0
201,1.0,12.0,155.2,60.3,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,120.0,290.0
202,2.0,12.0,158.0,46.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,120.0,240.0
203,1.0,13.0,169.5,52.2,3.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,120.0,240.0
204,1.0,13.0,171.2,59.8,1.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,60.0,120.0
205,1.0,13.0,165.1,48.9,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,30.0,60.0
206,1.0,13.0,159.0,38.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,60.0,120.0
207,2.0,13.0,160.6,65.4,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,50.0,70.0
208,2.0,13.0,153.0,48.0,4.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,0.0,90.0
209,2.0,14.0,168.0,44.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,120.0,240.0
210,2.0,14.0,158.0,39.0,4.0,1.0,4.0,3.0,2.0,4.0,1.0,1.0,120.0,120.0
211,1.0,13.0,177.0,68.0,3.0,2.0,1.0,8.0,3.0,2.0,1.0,1.0,120.0,180.0
212,2.0,13.0,160.6,44.9,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,0.0,60.0
213,2.0,14.0,159.5,44.0,1.0,1.0,1.0,8.0,5.0,1.0,1.0,1.0,30.0,120.0
214,2.0,14.0,153.0,40.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,60.0,120.0
215,1.0,14.0,163.7,70.1,4.0,2.0,2.0,5.0,4.0,2.0,2.0,1.0,280.0,140.0
216,1.0,13.0,168.0,75.0,2.0,3.0,2.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0
217,1.0,14.0,175.8,66.7,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,60.0,90.0
218,1.0,14.0,171.1,49.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,30.0,30.0
219,1.0,13.0,164.0,45.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,60.0,90.0
220,1.0,13.0,167.0,60.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,120.0,300.0
221,2.0,13.0,153.0,46.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0
222,2.0,13.0,170.1,58.9,2.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,90.0,130.0
223,1.0,14.0,176.0,80.0,4.0,3.0,2.0,7.0,2.0,3.0,1.0,1.0,220.0,240.0
224,2.0,14.0,161.0,47.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,60.0,60.0
225,2.0,13.0,155.0,48.0,3.0,1.0,3.0,2.0,3.0,5.0,1.0,1.0,60.0,60.0
226,1.0,13.0,171.0,76.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,210.0,320.0
227,1.0,13.0,173.0,69.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,120.0,60.0
228,1.0,14.0,168.0,70.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,10.0,30.0
229,1.0,13.0,172.7,51.9,1.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,150.0,180.0
230,1.0,14.0,163.5,46.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,100.0,180.0
231,1.0,13.0,170.0,50.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,90.0
232,2.0,14.0,150.3,47.4,2.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,0.0,60.0
233,2.0,15.0,161.2,47.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0
234,2.0,15.0,162.3,45.3,2.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,150.0,70.0
235,2.0,15.0,168.0,43.0,4.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,600.0,600.0
236,2.0,16.0,158.1,48.0,4.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,180.0,300.0
237,2.0,15.0,160.0,54.0,5.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0
238,2.0,14.0,160.0,64.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,120.0,180.0
