,성별,연령,키,몸무게,학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
50056,2.0,15.0,166.0,56.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0
50057,1.0,16.0,173.0,48.0,5.0,3.0,3.0,4.0,1.0,5.0,2.0,2.0,0.0,0.0
50058,1.0,16.0,170.0,55.0,1.0,4.0,3.0,6.0,2.0,5.0,2.0,1.0,180.0,120.0
50059,1.0,15.0,179.0,60.0,5.0,4.0,1.0,6.0,3.0,2.0,1.0,1.0,180.0,600.0
50060,2.0,16.0,154.7,68.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,60.0,180.0
50061,2.0,15.0,154.0,48.0,4.0,3.0,5.0,4.0,1.0,5.0,2.0,2.0,360.0,540.0
50062,2.0,15.0,159.9,43.0,5.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0
50063,1.0,16.0,171.0,72.0,4.0,3.0,4.0,8.0,1.0,4.0,2.0,1.0,0.0,0.0
50064,1.0,16.0,171.4,62.3,5.0,4.0,1.0,8.0,3.0,3.0,2.0,1.0,0.0,360.0
50065,1.0,16.0,179.0,62.0,3.0,2.0,1.0,8.0,4.0,3.0,1.0,1.0,240.0,240.0
50066,2.0,16.0,152.8,37.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0
50067,2.0,16.0,171.0,63.0,5.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,600.0,600.0
50068,1.0,17.0,182.0,84.0,3.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,80.0,0.0
50069,2.0,16.0,164.0,44.9,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,420.0,420.0
50070,2.0,16.0,159.9,52.9,4.0,3.0,4.0,2.0,1.0,4.0,1.0,2.0,300.0,600.0
50071,2.0,16.0,160.0,75.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,600.0,600.0
50072,1.0,17.0,163.0,46.0,5.0,5.0,2.0,5.0,4.0,4.0,2.0,1.0,0.0,0.0
50073,1.0,16.0,180.0,56.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,390.0,450.0
50074,1.0,17.0,170.0,64.0,5.0,4.0,3.0,2.0,3.0,4.0,2.0,1.0,0.0,120.0
50075,1.0,17.0,175.0,70.0,1.0,1.0,1.0,8.0,4.0,2.0,1.0,1.0,0.0,60.0
50076,1.0,17.0,171.0,64.0,3.0,3.0,1.0,8.0,3.0,3.0,2.0,1.0,0.0,180.0
